2018-11-11 10:47:47.5066 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-11 10:47:47.5705 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-11 10:47:47.5705 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-11 10:47:47.6084 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-11 10:47:47.6084 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-11 10:47:47.6084 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-11 10:48:06.2859 | INFO  | TestWpf.Visualization.ViewModels.ButtonViewModel | Selected Label1
2018-11-11 10:48:07.8804 | INFO  | TestWpf.Visualization.ViewModels.LabelViewModel | Changed foreground color of label1 to #FF008000
2018-11-11 10:48:14.6891 | INFO  | TestWpf.Visualization.ViewModels.ButtonViewModel | Selected Label2
2018-11-11 10:48:16.6878 | INFO  | TestWpf.Visualization.ViewModels.LabelViewModel | Changed background color of label2 to #FFFFFF00
2018-11-11 10:49:29.8247 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-11 10:49:29.9394 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-11 10:49:29.9454 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-11 10:49:30.1777 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-11 10:49:30.1777 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-11 10:49:30.1777 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-11 10:50:20.1523 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-11 10:50:20.1982 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-11 10:50:20.1982 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-11 10:50:20.2521 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-11 10:50:20.2531 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-11 10:50:20.2531 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-11 13:58:10.3753 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-11 13:58:10.4242 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-11 13:58:10.4272 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-11 13:58:10.4750 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-11 13:58:10.4750 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-11 13:58:10.4750 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-11 14:02:22.5666 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-11 14:02:22.6471 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-11 14:02:22.6471 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-11 14:02:22.7410 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
